code,question,option 1,option 2,option 3,option 4,correct answer
93-GSAT-6,Many scholars and experts from all over the world will be invited to attend this yearly ______ on drug control.,reference,intention,conference,interaction,conference
93-GSAT-7,"John had failed to pay his phone bills for months, so his telephone was ______ last week.",interrupted,disconnected,excluded,discriminated,disconnected
93-GSAT-8,"The organic food products are made of natural ingredients, with no ______ flavors added.",accurate,regular,superficial,artificial,artificial
93-GSAT-9,Jessica is a very religious girl; she believes that she is always ______ supported by her god.,spiritually,typically,historically,officially,spiritually
94-GSAT-1,"As computers are getting less expensive, they are _____ used in schools and offices today.",widely,expectedly,consciously,influentially,widely
94-GSAT-10,The drug dealer was ________ by the police while he was selling cocaine to a high school student.,threatened,endangered,demonstrated,arrested,arrested
94-GSAT-11,The rise of oil prices made scientists search for new energy resources to _____ oil.,apply,replace,inform,persuade,replace
94-GSAT-12,"Without much contact with the outside world for many years, John found many technological invention _____ to him.",natural,common,foreign,objective,foreign
94-GSAT-13,The medicine you take for a cold may cause _____; try not to drive after you take it.,incident,violence,bacteria,drowsiness,drowsiness
94-GSAT-14,"To gain more ______, some legislators would get into violent physical fights so that they may appear in TV news reports.",publicity,reputation,significance,communication,publicity
94-GSAT-15,"To live an efficient life, we have to arrange the things to do in order of _____ and start with the most important ones.",authority,priority,regularity,security,priority
94-GSAT-2,Mr. Chang always tries to answer all questions from his students. He will not _____ any of them even if they may sound stupid.,reform,depress,ignore,confirm,ignore
94-GSAT-3,Irene does not throw away used envelopes. She _____ them by using them for taking telephone messages.,designs,recycles,disguises,manufactures,recycles
94-GSAT-4,"Cheese, powdered milk, and yogurt are common milk _____.",produces,products,productions,productivities,products
94-GSAT-5,"Although he is a chef, Roberto _____ cooks his own meals.",rarely,bitterly,naturally,skillfully,rarely
94-GSAT-6,"Due to the yearly bonus system, the 100 ________ positions in this high-tech company have attracted many applicants from around the island.",loyal,evident,typical,vacant,vacant
94-GSAT-7,"If you want to borrow magazines, tapes, or CDs, you can visit the library. They are all ______ there.",sufficient,marvelous,impressive,available,available
94-GSAT-8,The fire in the fireworks factory in Changhua set off a series of powerful _________ and killed four people.,explosions,extensions,inspections,impressions,explosions
94-GSAT-9,A good government official has to ________ the temptation of money and make the right decision.,consist,insist,resist,persist,resist
95-GSAT-1,"If we can _____ to, we will take a vacation abroad in the summer.",pay,move,expose,afford,afford
95-GSAT-10,Jerry didn’t _____ his primary school classmate Mary until he listened to her self-introduction.,acquaint,acquire,recognize,realize,recognize
95-GSAT-11,"With the completion of several public _____ projects, such as the MRT, commuting to work has become easier for people living in the suburbs.",transportation,traffic,travel,transfer,transportation
95-GSAT-12,"With a good _____ of both Chinese and English, Miss Lin was assigned the task of oral interpretation for the visiting American delegation.",writing,program,command,impression,command
95-GSAT-13,I am studying so hard for the forthcoming entrance exam that I do not have the_____ of a free weekend to rest.,luxury,license,limitation,strength,luxury
95-GSAT-14,Kim was completely _____ after jogging in the hot sun all afternoon; she had little energy left.,kicked out,handed out,worn out,put out,worn out
95-GSAT-15,"When Jason failed to pay his bill, the network company_______ his Internet connection.",cut off,cut back,cut short,cut down,cut off
95-GSAT-2,A _____ mistake found in parenthood is that parents often set unrealistic goals for their children.,terrific,common,straight,favorable,common
95-GSAT-3,"Some words, such as “sandwich” and “hamburger,” were _____ the names of people or even towns.",originally,ideally,relatively,sincerely,originally
95-GSAT-4,Have you ever _____ how the ancient Egyptians created such marvelous feats of engineering as the pyramids?,concluded,wondered,admitted,persuaded,wondered
95-GSAT-5,Mr. Johnson was disappointed at his students for having a passive learning _____.,result,progress,attitude,energy,attitude
95-GSAT-6,Anne dreaded giving a speech before three hundred people; even thinking about it made her _____.,passionate,anxious,ambitious,optimistic,anxious
95-GSAT-7,I had to _____ Jack’s invitation to the party because it conflicted with an important business meeting.,decline,depart,devote,deserve,decline
95-GSAT-8,"Selling fried chicken at the night market doesn’t seem to be a decent business, but it is actually quite _____.",plentiful,precious,profitable,productive,profitable
95-GSAT-9,"The passengers _____ escaped death when a bomb exploded in the subway station, killing sixty people.",traditionally,valuably,loosely,narrowly,narrowly
96-GSAT-1,The movie director adapted this year’s bestseller into a hit and made a _____.,fortune,request,companion,decision,fortune
96-GSAT-10,It’s a pity that you have to leave so soon. I _____ hope that you will come back very soon.,sincerely,scarcely,reliably,obviously,sincerely
96-GSAT-11,"We human beings may live without clothes, but food and air are _____ to our life.",magnificent,essential,influential,profitable,essential
96-GSAT-12,The manager _____ without hesitation after he had been offered a better job in another company.,retreated,revived,removed,resigned,resigned
96-GSAT-13,Many important legal _____ concerning the tragic incident have now been preserved in the museum.,distributions,formations,documents,constructions,documents
96-GSAT-14,"I’m not sure exactly how much scholarship you’ll receive, but it will _____ cover your major expenses.",recently,roughly,frankly,variously,roughly
96-GSAT-15,"Tom was very ill a week ago, but now he looks healthy. We are _____ by his quick recovery.",amazed,convinced,advised,confirmed,amazed
96-GSAT-2,"Wang Chien-ming, the Yankees’ best pitcher last year, already showed his great _____ for baseball when he was still a teenager.",response,reluctance,permission,potential,potential
96-GSAT-3,"Although Jeffery had to keep two part-time jobs to support his family, he never _____ his studies. In fact, he graduated with honors.",neglected,segmented,financed,diminished,neglected
96-GSAT-4,"If it is too cold in this room, you can _____ the air conditioner to make yourself feel comfortable.",fasten,adjust,defeat,upload,adjust
96-GSAT-5,This course will provide students with a solid _____ for research. It is highly recommended for those who plan to go to graduate school.,admission,circulation,foundation,extension,foundation
96-GSAT-6,Peter is now living on a _____ of NT$100 per day. He cannot afford any recreational activities.,division,guidance,measure,budget,budget
96-GSAT-7,Amy succeeded in _____ for a raise though her boss didn’t agree to increase her salary at first.,compensating,negotiating,substituting,advertising,negotiating
96-GSAT-8,Ms. Li’s business _____ very quickly. She opened her first store two years ago; now she has fifty stores all over the country.,discouraged,transferred,stretched,expanded,expanded
96-GSAT-9,Ruth is a very _____ person. She cannot take any criticism and always finds excuses to justify herself.,shameful,innocent,defensive,outgoing,defensive
97-GSAT-1,Amy did not _____ changes in the course schedule and therefore missed the class.,arrest,alarm,notice,delay,notice
97-GSAT-10,"Simon loves his work. To him, work always comes first, and family and friends are _____.",secondary,temporary,sociable,capable,secondary
97-GSAT-11,"Although your plans look good, you have to be _____ and consider what you can actually do.",dramatic,realistic,stressful,manageable,realistic
97-GSAT-12,"Built under the sea in 1994, the _____ between England and France connects the UK more closely with mainland Europe.",waterfall,temple,tunnel,channel,tunnel
97-GSAT-13,"This tour package is very appealing, and that one looks _____ attractive. I don’t know which one to choose.",equally,annually,merely,gratefully,equally
97-GSAT-14,"Hseu Fang-yi, a young Taiwanese dancer, recently _____ at Lincoln Center in New York and won a great deal of praise.",performed,pretended,postponed,persuaded,performed
97-GSAT-15,The police searched the house of the suspect _____. They almost turned the whole house upside down.,relatively,thoroughly,casually,permanently,thoroughly
97-GSAT-2,"It is not easy for old people to _____ their backs, so they need help when their backs itch.",label,scratch,lighten,squeeze,scratch
97-GSAT-3,Mary is suffering from a stomachache and needs to eat food which is easy to _____.,launch,invade,adopt,digest,digest
97-GSAT-4,"Since our classroom is not air-conditioned, we have to _____ the heat during the hot summer days.",consume,tolerate,recover,promote,tolerate
97-GSAT-5,Sue is so _____ that she always breaks something when she is shopping at a store.,religious,visual,clumsy,intimate,clumsy
97-GSAT-6,Ann enjoyed going to the flower market. She believed that the _____ of flowers refreshed her mind.,instance,dominance,appliance,fragrance,fragrance
97-GSAT-7,The profits of Prince Charles’s organic farm go to _____ to help the poor and the sick.,charities,bulletins,harvests,rebels,charities
97-GSAT-8,"Jack was given the rare _____ of using the president’s office, which made others quite jealous.",mischief,privilege,involvement,occupation,privilege
97-GSAT-9,This new computer is obviously _____ to the old one because it has many new functions.,technical,suitable,superior,typical,superior
98-GSAT-1,Steve’s description of the place was so _____ that I could almost picture it in my mind.,bitter,vivid,sensitive,courageous,vivid
98-GSAT-10,"With the worsening of global economic conditions, it seems wiser and more _____ to keep cash in the bank rather than to invest in the stock market.",sensible,portable,explicit,anxious,sensible
98-GSAT-11,"Under the _____ of newly elected president Barack Obama, the US is expected to turn a new page in politics and economy.",adoption,fragrance,identity,leadership,leadership
98-GSAT-12,Rapid advancement in motor engineering makes it _____ possible to build a flying car in the near future.,individually,narrowly,punctually,technically,technically
98-GSAT-13,"When you take photos, you can move around to shoot the target object from different _____.",moods,trends,angles,inputs,angles
98-GSAT-14,Students were asked to _____ or rewrite their compositions based on the teacher’s comments.,revise,resign,refresh,remind,revise
98-GSAT-15,"Besides lung cancer, another _____ of smoking is wrinkles, a premature sign of aging.",blessing,campaign,consequence,breakthrough,consequence
98-GSAT-2,"When people feel uncomfortable or nervous, they may _____ their arms across their chests as if to protect themselves.",toss,fold,veil,yield,fold
98-GSAT-3,The doors of these department stores slide open _____ when you approach them. You don’t have to open them yourself.,necessarily,diligently,automatically,intentionally,automatically
98-GSAT-4,"Nicole is a _____ language learner. Within a short period of time, she has developed a good command of Chinese and Japanese.",convenient,popular,regular,brilliant,brilliant
98-GSAT-5,"With rising oil prices, there is an increasing _____ for people to ride bicycles to work.",permit,instrument,appearance,tendency,tendency
98-GSAT-6,"This information came from a very _____ source, so you don’t have to worry about being cheated.",reliable,flexible,clumsy,brutal,reliable
98-GSAT-7,We hope that there will be no war in the world and that all people live in peace and _____ with each other.,complaint,harmony,mission,texture,harmony
98-GSAT-8,"To have a full discussion of the issue, the committee spent a whole hour _____ their ideas at the meeting.",depositing,exchanging,governing,interrupting,exchanging
98-GSAT-9,"While adapting to western ways of living, many Asian immigrants in the US still try hard to _____ their own cultures and traditions.",volunteer,scatter,preserve,motivate,preserve
99-GSAT-1,Mr. Lin is a very ________ writer; he publishes at least five novels every year.,moderate,temporary,productive,reluctant,productive
99-GSAT-10,"Studies show that asking children to do house _____, such as taking out the trash or doing the dishes, helps them grow into responsible adults.",missions,chores,approaches,incidents,chores
99-GSAT-11,"John has been scolded by his boss for over ten minutes now. _____, she is not happy about his being late again.",Expressively,Apparently,Immediately,Originally,Apparently
99-GSAT-12,"Since the orange trees suffered _____ damage from a storm in the summer, the farmers are expecting a sharp decline in harvests this winter.",potential,relative,severe,mutual,severe
99-GSAT-13,"Typhoon Morakot claimed more than six hundred lives in early August of 2009, making it the most serious natural _____ in Taiwan in recent decades.",disaster,barrier,anxiety,collapse,disaster
99-GSAT-14,Robert was the only _____ to the car accident. The police had to count on him to find out exactly how the accident happened.,dealer,guide,witness,client,witness
99-GSAT-15,"Badly injured in the car accident, Jason could _____ move his legs and was sent to the hospital right away.",accordingly,undoubtedly,handily,scarcely,scarcely
99-GSAT-2,Mr. Lin is a very ______ writer; he publishes at least five novels every year.,moderate,temporary,productive,reluctant,productive
99-GSAT-3,Using a heating pad or taking warm baths can sometimes help to _____ pain in the lower back.,polish,relieve,switch,maintain,relieve
99-GSAT-4,"Due to ______, prices for daily necessities have gone up and we have to pay more for the same items now.",inflation,solution,objection,condition,inflation
99-GSAT-5,The government is doing its best to _____ the cultures of the tribal people for fear that they may soon die out.,preserve,frustrate,hesitate,overthrow,preserve
99-GSAT-6,"I could not ______ the sweet smell from the bakery, so I walked in and bought a fresh loaf of bread.",insist,resist,obtain,contain,resist
99-GSAT-7,"Steve has several meetings to attend every day; therefore, he has to work on a very _____ schedule.",dense,various,tight,current,tight
99-GSAT-8,"Michael Phelps, an American swimmer, broke seven world records and won eight gold medals in men’s swimming _____ in the 2008 Olympics.",drills,techniques,routines,contests,contests
99-GSAT-9,"Those college students work at the orphanage on a _____ basis, helping the children with their studies without receiving any pay.",voluntary,competitive,sorrowful,realistic,voluntary
115-GSAT-1,The mayor has such a ______ schedule that it takes weeks to arrange an interview with her.,hasty,tight,diligent,routine,tight
115-GSAT-2,"Jane started as an ______ art designer, but now she has a professional studio of her own.",official,instant,amateur,elementary,amateur
115-GSAT-3,The teaching ______ at the famous high school soon attracted more than a dozen well-qualified applicants.,career,vacancy,expectation,inspiration,vacancy
115-GSAT-4,"Designed by a young engineer, the new product has created far more profit than ______ expected.",initially,genuinely,alternatively,fundamentally,initially
115-GSAT-5,It has been confirmed that a balanced ______ of fruit and vegetables is a key element to good health.,dimension,integration,provision,consumption,consumption
115-GSAT-6,"As a shy boy afraid of making public appearances, Timmy ______ the thought of speaking before large audiences.",dreads,stresses,wanders,escapes,dreads
115-GSAT-7,"To the newly-crowned winner of the piano competition, music is his life’s ______, which he has devoted himself to whole-heartedly.",resource,impact,passion,emphasis,passion
115-GSAT-8,The drunk driver who shouted at passers-by and ______ them with glass bottles was quickly arrested by the police.,shattered,assaulted,overturned,condemned,assaulted
115-GSAT-9,There were so many people at the bus station that I had to ______ my way through the crowd to board the bus in time.,crash,tumble,elbow,struggle,elbow
115-GSAT-10,Deadly shootings on US campuses have raised ______ concerns about how to prevent such tragic incidents from happening again.,swift,brutal,harsh,grave,grave
